noun,score_by_females,sd_by_females,score_by_males,sd_by_males,is_occupation,frequency
admiral,5.75,1.29,5.85,1.27,True,-5.70659139565147
advice columnist,3.0,1.34,2.4,1.1,True,-7.687863294715135
aerobics instructor,2.1,1.02,2.25,1.21,True,-7.804766631140143
air stewardess,1.8,0.89,1.55,0.69,True,-8.086316521638764
air traffic controller,5.5,1.0,5.45,1.05,True,-7.052082382727644
alcoholic,5.25,1.12,5.55,1.15,False,-5.290361667633343
allergist,4.55,1.05,3.55,0.83,True,-7.217613982881697
animal caretaker,3.9,0.91,3.4,0.99,True,-8.44404421732768
antique dealer,3.45,1.36,3.5,1.61,True,-7.303085243470186
architect,5.55,1.15,5.1,1.21,True,-5.100475589954178
artisan,4.2,0.83,4.5,0.95,True,-5.95157033351987
artist,3.8,1.01,4.05,0.6,True,-4.60486784296821
assistant,3.25,0.85,3.5,0.76,True,-4.769573050864056
astrologist,4.35,1.09,4.35,1.18,True,-7.952885808383701
astronaut,5.65,0.99,5.85,1.04,True,-6.066560755743308
astronomer,5.1,1.02,4.5,1.1,True,-5.910918861577579
athlete,4.65,1.04,5.2,1.15,True,-5.333535798394739
attorney,4.25,0.79,4.5,0.95,True,-4.60453098399674
auctioneer,5.55,0.89,5.8,1.24,True,-6.191350796821423
author,3.9,0.31,3.95,0.6,True,-4.1372230139856185
auto mechanic,6.45,0.83,6.6,0.6,True,-7.16607319661348
aviator,5.6,0.88,5.4,1.14,True,-6.362022297614434
baby,3.85,0.75,3.95,0.51,False,-4.248962444260035
babysitter,1.85,0.93,1.95,0.89,True,-6.1912558011708745
baker,3.3,1.13,3.65,1.42,True,-5.862692006811145
ballerina,1.5,0.76,1.65,0.67,True,-6.356693208688054
ballet dancer,1.6,0.88,1.45,0.6,True,-6.89062362655806
bank teller,3.1,1.37,2.9,1.62,True,-6.909475308024929
banker,4.65,0.93,5.3,1.13,True,-5.517681696807846
barber,6.35,0.75,6.3,0.86,True,-5.795515766469303
bartender,4.75,1.33,5.4,1.23,True,-5.670382214819894
baseball player,6.2,0.89,6.6,0.6,True,-6.480869294168615
basketball player,4.85,0.99,5.25,1.25,True,-6.501504108306279
baton twirler,1.5,0.61,1.3,0.47,True,-8.430255182203203
beautician,1.55,0.51,1.85,0.88,True,-6.965389040923332
bell hop,5.85,1.14,5.45,1.32,True,-8.351514560977767
bellboy,6.45,0.76,6.65,0.49,True,-7.02215997806001
biker,5.35,0.99,4.9,1.02,True,-6.19125952209294
bingo player,3.4,0.82,3.05,1.0,False,-8.850053851973591
bird owner,3.6,1.27,3.1,1.02,False,-8.821072828788067
bookkeeper,3.0,1.08,3.05,1.0,True,-6.308678114057905
boss,5.1,1.17,5.5,1.05,True,-4.838413388464766
boutique owner,2.0,0.73,2.2,1.15,True,-8.216213183858654
bowler,4.9,0.97,4.9,1.07,True,-6.20854947452007
boxer,6.4,0.68,6.1,0.85,True,-5.871537778636696
bride,1.0,0.0,1.0,0.0,False,-5.056712479212433
building contractor,5.9,0.97,5.95,0.76,True,-7.026760749385858
butcher,6.1,0.91,5.95,0.85,True,-5.592339457898216
butler,6.55,0.69,6.8,0.41,True,-5.690969851465292
caddy,5.9,1.07,5.65,1.14,True,-6.698094320018523
cake decorator,2.65,1.04,2.2,0.95,True,-8.25259258384674
camp counselor,3.55,1.05,4.3,1.17,True,-7.416916223171137
camper,4.6,0.82,5.35,1.23,False,-6.181536040148753
candy maker,3.8,0.52,3.8,1.32,True,-7.971847175944051
car racing fan,4.8,1.47,5.15,1.5,False,-9.632750097159812
car salesman,6.2,0.89,6.3,0.92,True,-6.973615313964623
card player,4.8,0.83,5.25,1.07,False,-7.496336183273555
caregiver,2.74,1.1,2.8,1.01,True,-5.524256701625424
carpenter,6.3,0.86,6.15,0.81,True,-5.630775500566881
cashier,3.45,0.6,3.65,0.81,True,-5.849500260075284
cat owner,2.85,1.14,2.75,0.97,False,-7.976284575660438
caterer,3.85,0.75,3.6,1.05,True,-6.490940145165587
celebrity,4.0,0.32,3.65,0.75,True,-5.358005602281713
chair person,4.3,0.66,4.5,0.83,True,-8.351109635465509
chairman,4.6,0.68,4.85,1.09,True,-4.958227999183445
cheerleader,1.65,0.75,2.1,1.12,True,-6.2698003034053045
chef,4.55,1.5,5.4,1.23,True,-5.445305679453351
chick,1.35,0.81,1.05,0.22,False,-5.672567768027882
child,4.0,0.46,4.1,0.31,False,-3.7134547167563694
child advocate,2.5,1.1,2.9,1.45,True,-7.807970033422096
child care worker,2.0,0.86,2.25,0.97,True,-7.904271022168974
chiropractor,4.8,1.11,5.1,1.25,True,-6.559558014630214
choreographer,3.1,1.25,3.25,1.25,True,-6.276535830491764
cleaner,2.95,1.0,2.65,1.14,True,-5.460340807759088
clerk,3.8,0.7,3.75,1.21,True,-4.945973065557516
client,4.15,0.75,4.5,1.28,False,-4.243362160691448
clinical psychologist,3.5,1.28,4.05,0.89,True,-6.572524242774042
clown,5.3,1.17,5.2,1.11,True,-5.731919008860489
coach,5.4,1.05,5.95,0.94,True,-4.874106392817775
coed,3.95,0.22,3.7,0.88,False,-6.239357569516422
colonel,6.2,0.89,6.6,0.6,True,-5.35518861301533
comedian,4.95,0.83,5.35,0.99,True,-5.937147514858075
company president,5.05,1.0,5.45,1.32,True,-6.908074460726329
composer,4.9,0.97,5.3,0.98,True,-5.217304124944908
computer programmer,5.2,1.01,4.8,1.15,True,-6.845741323814332
computer technician,5.1,0.91,5.0,0.97,True,-7.499614513016693
concierge,4.26,0.93,4.55,0.89,True,-6.094041789505986
congressman,5.9,0.97,6.2,0.89,True,-5.999175656819686
conservationist,4.5,1.15,3.65,0.75,True,-6.573864970295898
construction worker,6.35,0.88,6.45,0.6,True,-6.711234363360356
cook,3.95,0.89,3.85,1.14,True,-4.762249794325598
cookie maker,2.2,0.88,2.0,0.65,True,-8.766426971553466
cosmetologist,1.45,0.6,1.6,0.94,True,-7.499571114530844
counseling psychologist,3.25,1.33,3.7,1.17,True,-7.743895432264788
court reporter,2.75,0.85,2.25,0.85,True,-6.609454307575668
craftsman,5.5,1.24,5.75,1.16,True,-6.010868005999105
criminal,5.55,0.94,5.8,0.95,False,-4.343088994602955
cult member,4.65,0.99,4.5,0.89,False,-7.847989303923651
customer,3.75,0.72,4.05,0.51,False,-4.389656650594773
customs inspector,4.75,0.91,5.25,1.21,True,-7.611839792586566
cyclist,4.85,1.04,5.0,1.03,True,-6.316324972448315
dance instructor,2.05,0.89,2.25,0.91,True,-7.45846860607549
dancer,2.35,0.88,2.55,1.1,True,-5.455198338173059
data processor,3.85,0.59,3.85,1.09,True,-7.390030628889445
deacon,6.1,0.97,6.45,0.69,True,-6.001496118956718
dental hygienist,3.35,1.23,3.25,1.33,True,-6.925078407610042
dentist,5.25,1.12,5.3,1.26,True,-5.561155271098488
deputy,6.25,0.72,5.85,1.09,True,-5.0990249583751694
dietician,2.7,0.92,2.65,1.23,True,-6.870868354381392
diplomat,4.8,0.95,5.3,1.42,True,-5.698853290899498
district attorney,4.8,1.11,5.0,1.17,True,-5.9776614985101375
doctor,4.65,1.18,4.6,1.47,True,-4.348151159551936
dog groomer,3.45,0.83,3.4,1.05,True,-8.101565649745433
dog owner,4.0,1.08,4.55,1.05,False,-7.219674166272869
drafting worker,6.0,0.86,5.4,1.05,True,-20.0
dress maker,2.15,0.99,1.7,0.8,True,-8.395059839537488
drug addict,4.5,0.89,4.75,1.12,False,-6.512947147775866
drug dealer,5.4,1.57,5.95,1.5,False,-6.378039577746861
drummer,5.5,1.0,5.15,1.35,True,-5.835127670444821
dude,6.3,1.13,6.55,0.89,False,-5.700693293605425
economist,4.35,0.88,4.6,1.14,True,-5.491570187773067
editor,4.15,1.09,4.95,1.1,True,-4.630958342573512
electrician,6.0,0.92,6.0,0.92,True,-6.175433820841206
elementary school principal,4.4,1.35,4.55,1.15,True,-7.5635766464517245
elementary school teacher,2.3,1.03,2.2,1.11,True,-6.959673272048186
embezzler,5.0,0.97,4.95,1.28,False,-7.277687527608319
emergency medical care,4.2,0.7,4.35,0.67,False,-7.008566492559917
engineer,5.35,1.31,5.65,0.99,True,-4.936546368176952
entertainer,4.05,0.22,4.15,0.49,True,-6.216268722257672
etiquette expert,2.35,0.99,2.1,1.02,True,-8.555503520486223
executive,4.55,0.83,5.45,1.1,True,-4.509971500134079
exercise instructor,2.7,0.92,2.65,1.31,True,-8.396779789232783
exotic dancer,2.35,1.46,1.5,0.61,True,-7.326798804481677
